<<<<<<< HEAD
id,station_id,alarm_id,parameter_id,start_time,end_time,value,threshold
10167820,1161114075,323,1,2017-10-23 12:37:52,2017-10-23 12:40:05,999999,999999
10167702,1161115022,317,152,2017-10-23 12:00:00,2017-10-23 12:00:05,999991,0
10167703,1161115022,319,153,2017-10-23 12:00:03,2017-10-23 12:00:06,999991,1
10167711,1161115022,319,153,2017-10-23 12:01:17,2017-10-23 12:01:19,999991,1
10167723,1161115022,319,153,2017-10-23 12:02:50,2017-10-23 12:02:58,999991,1
10167722,1161115022,317,152,2017-10-23 12:02:50,2017-10-23 12:25:49,999991,0
10167825,1161115030,308,121,2017-10-23 12:40:08,2017-10-23 12:40:15,241,240
10167833,1161115030,308,121,2017-10-23 12:41:40,2017-10-23 12:41:51,241,240
10167836,1161115028,309,121,2017-10-23 12:42:03,2017-10-23 12:42:09,199,200
10167835,1161115030,308,121,2017-10-23 12:41:54,2017-10-23 12:42:22,241,240
10167839,1161115030,308,121,2017-10-23 12:42:28,2017-10-23 12:42:30,241,240
10167831,1161114070,323,1,2017-10-23 12:42:45,2017-10-23 12:43:53,999999,999999
10167840,1161114055,303,116,2017-10-23 12:44:20,2017-10-23 12:44:21,999999,999999
10167845,1161115030,308,121,2017-10-23 12:45:45,2017-10-23 12:47:14,241,240
10167853,1161115040,323,1,2017-10-23 12:48:56,,999999,999999
10167855,1161114071,308,121,2017-10-23 12:45:07,2017-10-23 12:45:11,241,240
10167866,1161114059,323,1,2017-10-23 12:54:45,2017-10-23 12:54:48,999999,999999
10167865,1161114060,308,121,2017-10-23 12:55:03,2017-10-23 12:55:45,241,240
10167868,1161114060,308,121,2017-10-23 12:55:46,2017-10-23 12:55:50,241,240
10167867,1161114070,323,1,2017-10-23 12:54:46,2017-10-23 12:55:06,999999,999999
10167870,1161114060,308,121,2017-10-23 12:55:59,2017-10-23 12:56:18,241,240
10167872,1161114060,308,121,2017-10-23 12:56:25,2017-10-23 12:56:29,241,240
10167873,1161114060,308,121,2017-10-23 12:56:35,2017-10-23 12:56:36,241,240
10167876,1161115028,309,121,2017-10-23 12:55:07,2017-10-23 12:55:08,199,200
10167881,1161115006,303,116,2017-10-23 12:57:25,2017-10-23 12:57:27,999999,999999
10167886,1161115028,309,121,2017-10-23 12:56:48,,199,200
10167887,1161114007,309,121,2017-10-23 12:54:02,2017-10-23 12:54:15,199,200
10167888,1161114007,309,121,2017-10-23 12:54:32,2017-10-23 12:54:40,199,200
10167889,1161114007,309,121,2017-10-23 12:55:07,2017-10-23 12:55:15,199,200
10167890,1161114007,309,121,2017-10-23 12:55:25,2017-10-23 12:56:52,199,200
10167892,1161115002,310,122,2017-10-23 12:57:17,2017-10-23 12:57:24,31,30
10167704,1161115022,319,153,2017-10-23 12:00:06,2017-10-23 12:00:09,999991,1
10167708,1161115022,319,153,2017-10-23 12:00:34,2017-10-23 12:00:37,999991,1
10167707,1161115022,317,152,2017-10-23 12:00:29,2017-10-23 12:00:58,999991,0
10167714,1161114003,323,1,2017-10-23 12:01:17,2017-10-23 12:01:18,999999,999999
10167716,1161115022,319,153,2017-10-23 12:02:09,2017-10-23 12:02:14,999991,1
10167837,1161114026,323,1,2017-10-23 12:43:39,2017-10-23 12:44:36,999999,999999
10167841,1161115028,309,121,2017-10-23 12:42:30,2017-10-23 12:43:35,199,200
10167843,1161115030,308,121,2017-10-23 12:43:44,2017-10-23 12:43:45,241,240
10167846,1161114074,323,1,2017-10-23 12:47:22,2017-10-23 12:47:41,999999,999999
10167842,1161114071,308,121,2017-10-23 12:40:37,2017-10-23 12:44:59,241,240
10167856,1161114026,323,1,2017-10-23 12:49:39,,999999,999999
10167858,1161114071,308,121,2017-10-23 12:46:26,2017-10-23 12:46:48,241,240
10167859,1161114002,312,143,2017-10-23 12:51:37,2017-10-23 12:51:40,28.5,28
10167862,1161114060,308,121,2017-10-23 12:53:53,2017-10-23 12:54:57,241,240
10167864,1161114060,308,121,2017-10-23 12:54:59,2017-10-23 12:55:00,241,240
10167878,1161115028,309,121,2017-10-23 12:55:23,2017-10-23 12:55:38,199,200
10167860,1161114071,308,121,2017-10-23 12:47:52,2017-10-23 12:52:57,241,240
10167885,1161115028,309,121,2017-10-23 12:56:27,2017-10-23 12:56:40,199,200
10167719,1161115022,319,153,2017-10-23 12:02:23,2017-10-23 12:02:26,999991,1
10167715,1161115028,309,121,2017-10-23 12:00:19,2017-10-23 12:00:40,199,200
10167740,1161114059,309,121,2017-10-23 12:00:56,2017-10-23 12:01:12,199,200
10167741,1161114059,309,121,2017-10-23 12:01:14,2017-10-23 12:01:43,199,200
10167742,1161114059,309,121,2017-10-23 12:01:45,2017-10-23 12:01:53,199,200
10167743,1161114059,309,121,2017-10-23 12:01:55,2017-10-23 12:04:31,199,200
10167749,1161114027,308,121,2017-10-23 12:06:45,2017-10-23 12:06:46,241,240
10167756,1161115022,319,153,2017-10-23 12:12:24,2017-10-23 12:12:28,999991,1
10167759,1161115028,309,121,2017-10-23 12:12:35,2017-10-23 12:12:40,199,200
10167762,1161115028,309,121,2017-10-23 12:13:01,2017-10-23 12:13:03,199,200
10167763,1161115022,319,153,2017-10-23 12:14:59,2017-10-23 12:15:04,999991,1
10167771,1161115022,319,153,2017-10-23 12:19:03,2017-10-23 12:19:08,999991,1
10167772,1161115022,319,153,2017-10-23 12:19:09,2017-10-23 12:19:15,999991,1
10167775,1161115022,319,153,2017-10-23 12:20:54,2017-10-23 12:20:58,999991,1
10167754,1161114060,308,121,2017-10-23 12:12:35,2017-10-23 12:22:27,241,240
10167851,1161114060,308,121,2017-10-23 12:49:36,2017-10-23 12:49:37,241,240
10167852,1161114060,308,121,2017-10-23 12:49:39,2017-10-23 12:50:39,241,240
10167854,1161114021,323,1,2017-10-23 12:49:01,2017-10-23 12:50:06,999999,999999
10167849,1161115030,308,121,2017-10-23 12:47:15,2017-10-23 12:50:08,241,240
10167869,1161114055,303,116,2017-10-23 12:55:36,2017-10-23 12:55:38,999999,999999
10167871,1161115028,309,121,2017-10-23 12:53:49,2017-10-23 12:53:57,199,200
10167875,1161115028,309,121,2017-10-23 12:54:54,2017-10-23 12:55:06,199,200
10167877,1161115028,309,121,2017-10-23 12:55:13,2017-10-23 12:55:13,199,200
10167894,1161114007,309,121,2017-10-23 12:56:55,2017-10-23 12:56:59,199,200
10167895,1161115002,310,122,2017-10-23 12:57:29,2017-10-23 12:57:31,33.5,30
10167896,1161114059,323,1,2017-10-23 12:59:54,,999999,999999
10167874,1161115017,304,114,2017-10-23 12:55:22,,40.5,40
10167883,1161115028,309,121,2017-10-23 12:56:19,2017-10-23 12:56:19,199,200
10167884,1161115028,309,121,2017-10-23 12:56:20,2017-10-23 12:56:21,199,200
10167879,1161114007,323,1,2017-10-23 12:56:54,2017-10-23 12:58:12,999999,999999
10167893,1161114007,309,121,2017-10-23 12:56:53,2017-10-23 12:56:54,199,200
10167891,1161114039,323,1,2017-10-23 12:58:15,2017-10-23 12:59:27,999999,999999
10167706,1161115022,319,153,2017-10-23 12:00:28,2017-10-23 12:00:33,999991,1
10167717,1161115022,319,153,2017-10-23 12:02:15,2017-10-23 12:02:18,999991,1
10167718,1161114059,309,121,2017-10-23 11:59:57,2017-10-23 12:00:19,199,200
10167720,1161115028,309,121,2017-10-23 12:00:57,2017-10-23 12:02:16,199,200
10167744,1161114003,323,1,2017-10-23 12:08:37,2017-10-23 12:08:50,999999,999999
10167746,1161114027,308,121,2017-10-23 12:06:22,2017-10-23 12:06:30,241,240
10167748,1161114027,308,121,2017-10-23 12:06:36,2017-10-23 12:06:37,241,240
10167755,1161115022,319,153,2017-10-23 12:12:16,2017-10-23 12:12:19,999991,1
10167758,1161115028,309,121,2017-10-23 12:11:31,2017-10-23 12:11:37,199,200
10167828,1161114002,312,143,2017-10-23 12:41:42,2017-10-23 12:41:45,28.5,28
10167832,1161115028,309,121,2017-10-23 12:41:22,2017-10-23 12:41:42,199,200
10167834,1161115028,309,121,2017-10-23 12:41:45,2017-10-23 12:41:47,199,200
10167705,1161115022,319,153,2017-10-23 12:00:19,2017-10-23 12:00:26,999991,1
10167710,1161115022,319,153,2017-10-23 12:00:59,2017-10-23 12:01:11,999991,1
10167713,1161115022,319,153,2017-10-23 12:01:35,2017-10-23 12:01:44,999991,1
10167724,1161114027,308,121,2017-10-23 12:00:22,2017-10-23 12:00:28,241,240
10167728,1161115028,309,121,2017-10-23 12:02:47,2017-10-23 12:02:48,199,200
10167725,1161114060,308,121,2017-10-23 12:04:08,2017-10-23 12:06:39,241,240
10167735,1161114002,312,143,2017-10-23 12:07:41,2017-10-23 12:07:42,28.5,28
10167736,1161114060,308,121,2017-10-23 12:08:40,2017-10-23 12:08:40,241,240
10167739,1161115018,303,112,2017-10-23 12:08:14,,999999,999999
10167747,1161114027,308,121,2017-10-23 12:06:31,2017-10-23 12:06:33,241,240
10167752,1161115022,319,153,2017-10-23 12:11:01,2017-10-23 12:11:15,999991,1
10167757,1161114068,323,1,2017-10-23 12:12:03,2017-10-23 12:13:11,999999,999999
10167761,1161115022,319,153,2017-10-23 12:14:34,2017-10-23 12:14:39,999991,1
10167753,1161114059,309,121,2017-10-23 12:08:45,2017-10-23 12:12:32,199,200
10167767,1161114021,323,1,2017-10-23 12:18:03,2017-10-23 12:18:19,999999,999999
10167769,1161115022,319,153,2017-10-23 12:18:53,2017-10-23 12:19:01,999991,1
10167770,1161114002,312,143,2017-10-23 12:18:30,2017-10-23 12:18:31,28.5,28
10167776,1161115022,319,153,2017-10-23 12:20:59,2017-10-23 12:21:05,999991,1
10167777,1161114050,323,1,2017-10-23 12:21:40,2017-10-23 12:21:42,999999,999999
10167778,1161115022,319,153,2017-10-23 12:22:14,2017-10-23 12:22:19,999991,1
10167779,1161115022,319,153,2017-10-23 12:22:22,2017-10-23 12:22:25,999991,1
10167781,1161115022,319,153,2017-10-23 12:22:47,2017-10-23 12:22:49,999991,1
10167780,1161114068,323,1,2017-10-23 12:22:14,2017-10-23 12:22:36,999999,999999
10167783,1161114068,312,143,2017-10-23 12:16:33,2017-10-23 12:20:32,28.5,28
10167782,1161115022,319,153,2017-10-23 12:23:00,2017-10-23 12:23:03,999991,1
10167785,1161114003,303,116,2017-10-23 12:22:18,2017-10-23 12:22:19,999999,999999
10167786,1161114002,312,143,2017-10-23 12:23:59,2017-10-23 12:24:00,28.5,28
10167788,1161115022,319,153,2017-10-23 12:25:46,2017-10-23 12:26:06,999991,1
10167784,1161114071,308,121,2017-10-23 12:18:29,2017-10-23 12:21:32,241,240
10167794,1161115028,309,121,2017-10-23 12:26:00,2017-10-23 12:26:10,199,200
10167796,1161115022,319,153,2017-10-23 12:27:57,2017-10-23 12:28:00,999991,1
10167793,1161115019,323,1,2017-10-23 12:27:05,2017-10-23 12:27:36,999999,999999
10167789,1161114071,308,121,2017-10-23 12:21:35,2017-10-23 12:23:19,241,240
10167787,1161114060,308,121,2017-10-23 12:25:26,2017-10-23 12:28:44,241,240
10167795,1161114050,323,1,2017-10-23 12:27:30,2017-10-23 12:28:14,999999,999999
10167798,1161114060,308,121,2017-10-23 12:29:07,2017-10-23 12:29:09,241,240
10167799,1161115028,309,121,2017-10-23 12:27:06,2017-10-23 12:27:47,199,200
10167801,1161115028,309,121,2017-10-23 12:27:56,2017-10-23 12:27:59,199,200
10167802,1161115022,319,153,2017-10-23 12:30:06,2017-10-23 12:30:10,999991,1
10167803,1161115028,309,121,2017-10-23 12:28:25,2017-10-23 12:28:28,199,200
10167805,1161115030,308,121,2017-10-23 12:28:52,2017-10-23 12:28:54,241,240
10167804,1161114068,323,1,2017-10-23 12:29:51,2017-10-23 12:30:57,999999,999999
10167808,1161114060,308,121,2017-10-23 12:32:37,2017-10-23 12:32:52,241,240
10167809,1161115030,308,121,2017-10-23 12:30:38,2017-10-23 12:30:47,241,240
10167811,1161114060,308,121,2017-10-23 12:34:53,2017-10-23 12:35:18,241,240
10167812,1161114060,308,121,2017-10-23 12:35:21,2017-10-23 12:35:35,241,240
10167807,1161114071,308,121,2017-10-23 12:26:17,2017-10-23 12:30:29,241,240
10167813,1161114002,312,143,2017-10-23 12:34:47,2017-10-23 12:34:48,28.5,28
10167814,1161114060,308,121,2017-10-23 12:36:03,2017-10-23 12:36:35,241,240
10167815,1161115022,319,153,2017-10-23 12:36:21,2017-10-23 12:36:25,999991,1
10167816,1161114020,323,1,2017-10-23 12:35:58,2017-10-23 12:37:04,999999,999999
10167823,1161115022,317,152,2017-10-23 12:38:26,2017-10-23 12:38:31,999991,0
10167822,1161115022,319,153,2017-10-23 12:38:24,2017-10-23 12:38:34,999991,1
10167790,1161114026,323,1,2017-10-23 12:26:10,2017-10-23 12:38:35,999999,999999
10167826,1161115028,309,121,2017-10-23 12:40:17,2017-10-23 12:40:21,199,200
10167827,1161115030,308,121,2017-10-23 12:40:22,2017-10-23 12:40:27,241,240
10167824,1161114060,308,121,2017-10-23 12:39:24,2017-10-23 12:42:50,241,240
10167806,1161115040,323,1,2017-10-23 12:30:22,2017-10-23 12:43:57,999999,999999
10167821,1161114071,308,121,2017-10-23 12:33:29,2017-10-23 12:37:18,241,240
10167829,1161115030,308,121,2017-10-23 12:40:35,2017-10-23 12:40:40,241,240
10167844,1161114039,323,1,2017-10-23 12:45:56,2017-10-23 12:46:10,999999,999999
10167847,1161114012,323,1,2017-10-23 12:48:09,2017-10-23 12:48:23,999999,999999
10167850,1161114065,303,116,2017-10-23 12:45:49,2017-10-23 12:45:50,999999,999999
10167848,1161114060,308,121,2017-10-23 12:49:18,2017-10-23 12:49:29,241,240
10167857,1161114071,308,121,2017-10-23 12:45:49,2017-10-23 12:46:03,241,240
10167861,1161115030,308,121,2017-10-23 12:51:11,2017-10-23 12:51:32,241,240
10167863,1161115030,308,121,2017-10-23 12:52:11,2017-10-23 12:52:17,241,240
10167880,1161115028,309,121,2017-10-23 12:55:50,2017-10-23 12:55:51,199,200
10167882,1161115028,309,121,2017-10-23 12:55:56,2017-10-23 12:56:11,199,200
10167830,1161115028,309,121,2017-10-23 12:41:14,2017-10-23 12:41:18,199,200
10167838,1161115030,308,121,2017-10-23 12:42:26,2017-10-23 12:42:27,241,240
=======
id,station_id,alarm_id,parameter_id,start_time,end_time,value,threshold
10167672,1161115030,308,121,2017-10-23 11:50:03,2017-10-23 12:25:27,241,240
10167673,1161115040,323,1,2017-10-23 11:51:30,2017-10-23 12:25:22,999999,999999
10167718,1161114059,309,121,2017-10-23 11:59:57,2017-10-23 12:00:19,199,200
10167702,1161115022,317,152,2017-10-23 12:00:00,2017-10-23 12:00:05,999991,0
10167703,1161115022,319,153,2017-10-23 12:00:03,2017-10-23 12:00:06,999991,1
10167704,1161115022,319,153,2017-10-23 12:00:06,2017-10-23 12:00:09,999991,1
10167715,1161115028,309,121,2017-10-23 12:00:19,2017-10-23 12:00:40,199,200
10167705,1161115022,319,153,2017-10-23 12:00:19,2017-10-23 12:00:26,999991,1
10167724,1161114027,308,121,2017-10-23 12:00:22,2017-10-23 12:00:28,241,240
10167721,1161114059,309,121,2017-10-23 12:00:25,2017-10-23 12:00:26,199,200
10167706,1161115022,319,153,2017-10-23 12:00:28,2017-10-23 12:00:33,999991,1
10167707,1161115022,317,152,2017-10-23 12:00:29,2017-10-23 12:00:58,999991,0
10167708,1161115022,319,153,2017-10-23 12:00:34,2017-10-23 12:00:37,999991,1
10167740,1161114059,309,121,2017-10-23 12:00:56,2017-10-23 12:01:12,199,200
10167720,1161115028,309,121,2017-10-23 12:00:57,2017-10-23 12:02:16,199,200
10167710,1161115022,319,153,2017-10-23 12:00:59,2017-10-23 12:01:11,999991,1
10167741,1161114059,309,121,2017-10-23 12:01:14,2017-10-23 12:01:43,199,200
10167711,1161115022,319,153,2017-10-23 12:01:17,2017-10-23 12:01:19,999991,1
10167714,1161114003,323,1,2017-10-23 12:01:17,2017-10-23 12:01:18,999999,999999
10167713,1161115022,319,153,2017-10-23 12:01:35,2017-10-23 12:01:44,999991,1
10167729,1161114071,308,121,2017-10-23 12:01:43,2017-10-23 12:01:48,241,240
10167742,1161114059,309,121,2017-10-23 12:01:45,2017-10-23 12:01:53,199,200
10167730,1161114071,308,121,2017-10-23 12:01:54,2017-10-23 12:07:45,241,240
10167743,1161114059,309,121,2017-10-23 12:01:55,2017-10-23 12:04:31,199,200
10167716,1161115022,319,153,2017-10-23 12:02:09,2017-10-23 12:02:14,999991,1
10167717,1161115022,319,153,2017-10-23 12:02:15,2017-10-23 12:02:18,999991,1
10167719,1161115022,319,153,2017-10-23 12:02:23,2017-10-23 12:02:26,999991,1
10167727,1161115028,309,121,2017-10-23 12:02:32,2017-10-23 12:02:42,199,200
10167728,1161115028,309,121,2017-10-23 12:02:47,2017-10-23 12:02:48,199,200
10167723,1161115022,319,153,2017-10-23 12:02:50,2017-10-23 12:02:58,999991,1
10167722,1161115022,317,152,2017-10-23 12:02:50,2017-10-23 12:25:49,999991,0
10167731,1161114027,308,121,2017-10-23 12:04:03,2017-10-23 12:04:21,241,240
10167725,1161114060,308,121,2017-10-23 12:04:08,2017-10-23 12:06:39,241,240
10167732,1161114027,308,121,2017-10-23 12:04:25,2017-10-23 12:04:35,241,240
10167733,1161114027,308,121,2017-10-23 12:04:38,2017-10-23 12:05:08,241,240
10167737,1161114027,308,121,2017-10-23 12:05:16,2017-10-23 12:06:02,241,240
10167745,1161114027,308,121,2017-10-23 12:06:05,2017-10-23 12:06:20,241,240
10167746,1161114027,308,121,2017-10-23 12:06:22,2017-10-23 12:06:30,241,240
10167747,1161114027,308,121,2017-10-23 12:06:31,2017-10-23 12:06:33,241,240
10167748,1161114027,308,121,2017-10-23 12:06:36,2017-10-23 12:06:37,241,240
10167749,1161114027,308,121,2017-10-23 12:06:45,2017-10-23 12:06:46,241,240
10167751,1161114059,309,121,2017-10-23 12:07:35,2017-10-23 12:08:17,199,200
10167734,1161114059,323,1,2017-10-23 12:07:40,2017-10-23 12:08:24,999999,999999
10167735,1161114002,312,143,2017-10-23 12:07:41,2017-10-23 12:07:42,28.5,28
10167739,1161115018,303,112,2017-10-23 12:08:14,,999999,999999
10167744,1161114003,323,1,2017-10-23 12:08:37,2017-10-23 12:08:50,999999,999999
10167736,1161114060,308,121,2017-10-23 12:08:40,2017-10-23 12:08:40,241,240
10167738,1161114060,308,121,2017-10-23 12:08:43,2017-10-23 12:08:45,241,240
10167753,1161114059,309,121,2017-10-23 12:08:45,2017-10-23 12:12:32,199,200
10167750,1161114002,312,143,2017-10-23 12:09:26,2017-10-23 12:09:26,28.5,28
10167764,1161114071,308,121,2017-10-23 12:10:42,2017-10-23 12:15:30,241,240
10167752,1161115022,319,153,2017-10-23 12:11:01,2017-10-23 12:11:15,999991,1
10167758,1161115028,309,121,2017-10-23 12:11:31,2017-10-23 12:11:37,199,200
10167757,1161114068,323,1,2017-10-23 12:12:03,2017-10-23 12:13:11,999999,999999
10167755,1161115022,319,153,2017-10-23 12:12:16,2017-10-23 12:12:19,999991,1
10167756,1161115022,319,153,2017-10-23 12:12:24,2017-10-23 12:12:28,999991,1
10167768,1161114059,310,122,2017-10-23 12:12:26,2017-10-23 12:12:31,31.5,30
10167759,1161115028,309,121,2017-10-23 12:12:35,2017-10-23 12:12:40,199,200
10167754,1161114060,308,121,2017-10-23 12:12:35,2017-10-23 12:22:27,241,240
10167760,1161115028,309,121,2017-10-23 12:12:43,2017-10-23 12:13:00,199,200
10167762,1161115028,309,121,2017-10-23 12:13:01,2017-10-23 12:13:03,199,200
10167761,1161115022,319,153,2017-10-23 12:14:34,2017-10-23 12:14:39,999991,1
10167763,1161115022,319,153,2017-10-23 12:14:59,2017-10-23 12:15:04,999991,1
10167783,1161114068,312,143,2017-10-23 12:16:33,2017-10-23 12:20:32,28.5,28
10167765,1161114059,323,1,2017-10-23 12:17:08,2017-10-23 12:18:12,999999,999999
10167766,1161115015,323,1,2017-10-23 12:17:18,2017-10-23 12:17:36,999999,999999
10167767,1161114021,323,1,2017-10-23 12:18:03,2017-10-23 12:18:19,999999,999999
10167784,1161114071,308,121,2017-10-23 12:18:29,2017-10-23 12:21:32,241,240
10167770,1161114002,312,143,2017-10-23 12:18:30,2017-10-23 12:18:31,28.5,28
10167769,1161115022,319,153,2017-10-23 12:18:53,2017-10-23 12:19:01,999991,1
10167771,1161115022,319,153,2017-10-23 12:19:03,2017-10-23 12:19:08,999991,1
10167772,1161115022,319,153,2017-10-23 12:19:09,2017-10-23 12:19:15,999991,1
10167773,1161114026,323,1,2017-10-23 12:19:39,2017-10-23 12:20:35,999999,999999
10167774,1161115022,319,153,2017-10-23 12:20:44,2017-10-23 12:20:51,999991,1
10167775,1161115022,319,153,2017-10-23 12:20:54,2017-10-23 12:20:58,999991,1
10167776,1161115022,319,153,2017-10-23 12:20:59,2017-10-23 12:21:05,999991,1
10167789,1161114071,308,121,2017-10-23 12:21:35,2017-10-23 12:23:19,241,240
10167777,1161114050,323,1,2017-10-23 12:21:40,2017-10-23 12:21:42,999999,999999
10167778,1161115022,319,153,2017-10-23 12:22:14,2017-10-23 12:22:19,999991,1
10167780,1161114068,323,1,2017-10-23 12:22:14,2017-10-23 12:22:36,999999,999999
10167785,1161114003,303,116,2017-10-23 12:22:18,2017-10-23 12:22:19,999999,999999
10167779,1161115022,319,153,2017-10-23 12:22:22,2017-10-23 12:22:25,999991,1
10167781,1161115022,319,153,2017-10-23 12:22:47,2017-10-23 12:22:49,999991,1
10167782,1161115022,319,153,2017-10-23 12:23:00,2017-10-23 12:23:03,999991,1
10167786,1161114002,312,143,2017-10-23 12:23:59,2017-10-23 12:24:00,28.5,28
10167787,1161114060,308,121,2017-10-23 12:25:26,2017-10-23 12:28:44,241,240
10167791,1161114020,303,116,2017-10-23 12:25:32,2017-10-23 12:25:33,999999,999999
10167792,1161115030,308,121,2017-10-23 12:25:35,2017-10-23 12:28:31,241,240
10167788,1161115022,319,153,2017-10-23 12:25:46,2017-10-23 12:26:06,999991,1
10167794,1161115028,309,121,2017-10-23 12:26:00,2017-10-23 12:26:10,199,200
10167790,1161114026,323,1,2017-10-23 12:26:10,2017-10-23 12:38:35,999999,999999
10167807,1161114071,308,121,2017-10-23 12:26:17,2017-10-23 12:30:29,241,240
10167793,1161115019,323,1,2017-10-23 12:27:05,2017-10-23 12:27:36,999999,999999
10167799,1161115028,309,121,2017-10-23 12:27:06,2017-10-23 12:27:47,199,200
10167795,1161114050,323,1,2017-10-23 12:27:30,2017-10-23 12:28:14,999999,999999
10167797,1161114002,312,143,2017-10-23 12:27:50,2017-10-23 12:27:53,28.5,28
10167801,1161115028,309,121,2017-10-23 12:27:56,2017-10-23 12:27:59,199,200
10167796,1161115022,319,153,2017-10-23 12:27:57,2017-10-23 12:28:00,999991,1
10167803,1161115028,309,121,2017-10-23 12:28:25,2017-10-23 12:28:28,199,200
10167800,1161114059,323,1,2017-10-23 12:28:38,2017-10-23 12:29:44,999999,999999
10167805,1161115030,308,121,2017-10-23 12:28:52,2017-10-23 12:28:54,241,240
10167798,1161114060,308,121,2017-10-23 12:29:07,2017-10-23 12:29:09,241,240
10167804,1161114068,323,1,2017-10-23 12:29:51,2017-10-23 12:30:57,999999,999999
10167802,1161115022,319,153,2017-10-23 12:30:06,2017-10-23 12:30:10,999991,1
10167806,1161115040,323,1,2017-10-23 12:30:22,2017-10-23 12:43:57,999999,999999
10167809,1161115030,308,121,2017-10-23 12:30:38,2017-10-23 12:30:47,241,240
10167808,1161114060,308,121,2017-10-23 12:32:37,2017-10-23 12:32:52,241,240
10167821,1161114071,308,121,2017-10-23 12:33:29,2017-10-23 12:37:18,241,240
10167810,1161114012,323,1,2017-10-23 12:34:12,2017-10-23 12:35:17,999999,999999
10167813,1161114002,312,143,2017-10-23 12:34:47,2017-10-23 12:34:48,28.5,28
10167811,1161114060,308,121,2017-10-23 12:34:53,2017-10-23 12:35:18,241,240
10167812,1161114060,308,121,2017-10-23 12:35:21,2017-10-23 12:35:35,241,240
10167816,1161114020,323,1,2017-10-23 12:35:58,2017-10-23 12:37:04,999999,999999
10167814,1161114060,308,121,2017-10-23 12:36:03,2017-10-23 12:36:35,241,240
10167815,1161115022,319,153,2017-10-23 12:36:21,2017-10-23 12:36:25,999991,1
10167817,1161115022,319,153,2017-10-23 12:36:25,2017-10-23 12:36:28,999991,1
10167818,1161114068,323,1,2017-10-23 12:37:32,2017-10-23 12:38:07,999999,999999
10167820,1161114075,323,1,2017-10-23 12:37:52,2017-10-23 12:40:05,999999,999999
10167819,1161115022,319,153,2017-10-23 12:38:17,2017-10-23 12:38:22,999991,1
10167822,1161115022,319,153,2017-10-23 12:38:24,2017-10-23 12:38:34,999991,1
10167823,1161115022,317,152,2017-10-23 12:38:26,2017-10-23 12:38:31,999991,0
10167824,1161114060,308,121,2017-10-23 12:39:24,2017-10-23 12:42:50,241,240
10167825,1161115030,308,121,2017-10-23 12:40:08,2017-10-23 12:40:15,241,240
10167826,1161115028,309,121,2017-10-23 12:40:17,2017-10-23 12:40:21,199,200
